bidder_id,outcome,total_bids,total_auctions,bids_per_auction,mean_time_diff,mean_response,min_response,ip_entropy,url_entropy
91a3c57b13234af24875c56fb7e2b2f4rb56a,0.0,24,18,1.3333,10851.13,10673.375,0.0,49.8149,0.0
624f258b49e77713fc34034560f93fb3hu3jo,0.0,3,1,3.0,61438.0,2.3333,0.0,0.6931,0.6931
1c5f4fc669099bfbfac515cd26997bd12ruaj,0.0,4,4,1.0,45201.0,219.0,79.0,1.7918,1.0986
4bee9aba2abda51bf43d639013d6efe12iycd,0.0,1,1,1.0,,330.0,330.0,0.0,0.0
4ab12bc61c82ddd9c2d65e60555808acqgos1,0.0,155,23,6.7391,1477.8,35.2258,0.0,601.0291,460.9263
7eaefc97fbf6af12e930528151f86eb91bafh,0.0,1,1,1.0,,0.0,0.0,0.0,0.0
25558d24bca82beef0f9db4ba1fe2045ynnvq,0.0,8,8,1.0,30379.14,181.75,6.0,6.0403,8.5252
88ae7a35e374a6fddd079ebb28c822eeohwse,0.0,34,10,3.4,3222.55,148.7941,2.0,85.0545,0.0
57db69e32163f3e486dc6ef7d615aa12usje6,0.0,2,2,1.0,1296178.0,9.0,8.0,0.0,0.0
d1be739798ba0745a1fd72ac918a9f1929hei,0.0,14,10,1.4,100964.38,127.4286,0.0,21.859,18.681
0a6ba32afe4756995db2f5cf2461cddbvj445,0.0,6,3,2.0,33299.2,1081.6667,14.0,4.0943,4.7875
fa64831ab5ade55daee13f852c16b0a84ujt0,0.0,888,126,7.0476,1655.05,36.3514,0.0,4879.0944,1616.4871
3f3a3705be5ea07b9ba7ee646ed756fbssuo7,0.0,2,2,1.0,118811.0,292.5,91.0,0.0,0.0
1b26a52e1e5980c8487bb35cf5027fdfwfnzp,0.0,2,2,1.0,200070.0,2591.5,347.0,0.0,0.0
c0549e76b179912d52a28c3eb9b29376yaxvu,0.0,2,2,1.0,14293.0,1722.0,609.0,0.0,0.0
38e919293f5dbd62d87ce288e41aae2a281m2,0.0,922,28,32.9286,1531.35,400.1295,0.0,5363.2243,0.0
585e7c21b80baf2225224fe140cdb1a73ddrf,0.0,426,137,3.1095,603.9,322.4235,0.0,2088.3667,579.7242
d91a4421996dcf429f575e372915cdcedae6g,0.0,1274,163,7.816,202.87,179.6266,0.0,6574.7166,3607.6869
880f542a275df1251612886d408b32e8m96cp,0.0,18,4,4.5,77405.06,80.8333,0.0,33.5051,25.1341
